gamma,max_depth,eta,min_child_weight,objective,rounds,train-logloss-mean,train-logloss-std,train-auc-mean,train-auc-std,test-logloss-mean,test-logloss-std,test-auc-mean,test-auc-std
20,2,0.01,0.01,binary:logistic,30,0.6163150000000001,0.00022208556909446734,0.7049050000000001,0.0014569655681129713,0.616484,0.00020465092230428694,0.7025113333333334,0.004010706116827252
20,2,0.01,0.41000000000000003,binary:logistic,30,0.6163150000000001,0.00022208556909446734,0.7049050000000001,0.0014569655681129713,0.616484,0.00020465092230428694,0.7025113333333334,0.004010706116827252
20,2,0.01,0.81,binary:logistic,30,0.6163150000000001,0.00022208556909446734,0.7049050000000001,0.0014569655681129713,0.616484,0.00020465092230428694,0.7025113333333334,0.004010706116827252
20,2,0.41000000000000003,0.01,binary:logistic,22,0.47381199999999996,0.001605737836634599,0.7454500000000001,0.0023347877847890116,0.476373,0.0013641092331627886,0.7410666666666668,0.0015156680228715898
20,2,0.41000000000000003,0.41000000000000003,binary:logistic,22,0.47381199999999996,0.001605737836634599,0.7454500000000001,0.0023347877847890116,0.476373,0.0013641092331627886,0.7410666666666668,0.0015156680228715898
20,2,0.41000000000000003,0.81,binary:logistic,22,0.47381199999999996,0.001605737836634599,0.7454500000000001,0.0023347877847890116,0.476373,0.0013641092331627886,0.7410666666666668,0.0015156680228715898
20,2,0.81,0.01,binary:logistic,13,0.47401200000000004,0.001320887832734748,0.7443773333333334,0.0019379267845360273,0.4774103333333333,0.0026286478568944157,0.7393369999999999,0.002880008449061663
20,2,0.81,0.41000000000000003,binary:logistic,13,0.47401200000000004,0.001320887832734748,0.7443773333333334,0.0019379267845360273,0.4774103333333333,0.0026286478568944157,0.7393369999999999,0.002880008449061663
20,2,0.81,0.81,binary:logistic,13,0.47401200000000004,0.001320887832734748,0.7443773333333334,0.0019379267845360273,0.4774103333333333,0.0026286478568944157,0.7393369999999999,0.002880008449061663
20,5,0.01,0.01,binary:logistic,30,0.607141,0.0005728402918789785,0.7404540000000001,0.002339263131843022,0.6077623333333334,0.00033648113699814364,0.7354366666666666,0.0030193554867811658
20,5,0.01,0.41000000000000003,binary:logistic,30,0.607141,0.0005728402918789785,0.7404540000000001,0.002339263131843022,0.6077623333333334,0.00033648113699814364,0.7354366666666666,0.0030193554867811658
20,5,0.01,0.81,binary:logistic,30,0.607141,0.0005728402918789785,0.7404540000000001,0.002339263131843022,0.6077623333333334,0.00033648113699814364,0.7354366666666666,0.0030193554867811658
20,5,0.41000000000000003,0.01,binary:logistic,13,0.46707499999999996,0.0016158801523215504,0.755488,0.002658599631384926,0.4719236666666667,0.0024104065125110357,0.7473563333333333,0.0033846130584684934
20,5,0.41000000000000003,0.41000000000000003,binary:logistic,13,0.46707499999999996,0.0016158801523215504,0.755488,0.002658599631384926,0.4719236666666667,0.0024104065125110357,0.7473563333333333,0.0033846130584684934
20,5,0.41000000000000003,0.81,binary:logistic,13,0.46707499999999996,0.0016158801523215504,0.755488,0.002658599631384926,0.4719236666666667,0.0024104065125110357,0.7473563333333333,0.0033846130584684934
20,5,0.81,0.01,binary:logistic,8,0.46729766666666667,0.0018443521596725745,0.7545000000000001,0.0028679614130365833,0.47353500000000004,0.0018344961161038207,0.7446623333333333,0.0023675675750065217
20,5,0.81,0.41000000000000003,binary:logistic,8,0.46729766666666667,0.0018443521596725745,0.7545000000000001,0.0028679614130365833,0.47353500000000004,0.0018344961161038207,0.7446623333333333,0.0023675675750065217
20,5,0.81,0.81,binary:logistic,8,0.46729766666666667,0.0018443521596725745,0.7545000000000001,0.0028679614130365833,0.47353500000000004,0.0018344961161038207,0.7446623333333333,0.0023675675750065217
20,8,0.01,0.01,binary:logistic,30,0.605821,0.00047747321041782093,0.7461883333333333,0.0019204489637119533,0.6066743333333334,0.00033184568033282517,0.7394456666666667,0.0024846926481067256
20,8,0.01,0.41000000000000003,binary:logistic,30,0.605821,0.00047747321041782093,0.7461883333333333,0.0019204489637119533,0.6066743333333334,0.00033184568033282517,0.7394456666666667,0.0024846926481067256
20,8,0.01,0.81,binary:logistic,30,0.605821,0.00047747321041782093,0.7461883333333333,0.0019204489637119533,0.6066743333333334,0.00033184568033282517,0.7394456666666667,0.0024846926481067256
20,8,0.41000000000000003,0.01,binary:logistic,10,0.46538666666666667,0.0017122835305196807,0.7588956666666667,0.002159150656057963,0.472148,0.002262283065106268,0.7474813333333333,0.0037680527538180584
